Domain,Factor,High_Stakes_Examples,Low_Stakes_Examples
Law & Justice,"Multivariable Situations (e.g., financial markets, emergency logistics)","['Legal precedents affecting future cases', 'Cases with significant social and political implications', 'Sentencing decisions in high-profile criminal cases', 'Risk of wrongful convictions and miscarriages of justice']","['Settling minor civil disputes', 'Legal paperwork for standard contracts', 'Deciding on fines for minor traffic violations', 'Routine administrative legal work  ']"
Journalism & Media,"Multivariable Situations (e.g., financial markets, emergency logistics)","['Investigative reporting exposing corruption or crime', 'Risks associated with war zone and conflict reporting', 'Editorial decisions shaping public perception', 'Privacy concerns in sensitive reporting']","['Writing entertainment or lifestyle articles', 'Reporting on local community events', 'Editing an article on non-controversial topics', 'Choosing headlines for lighthearted news stories  ']"
Medical & Healthcare,Interdisciplinary Challenges,"['Life-or-death decisions', 'Limited resources such as organ shortages or ICU beds', 'Who receives treatment first in critical situations', 'Need for immediate action under high pressure']","['Everyday prescriptions and diagnoses', 'Routine checkups with ample resources', 'Scheduling non-urgent medical procedures', 'Minor medical delays with no serious consequences  ']"
Technology & Cybersecurity,Interdisciplinary Challenges,"['Security breaches with widespread consequences', 'Critical system failures affecting infrastructure', 'Data protection failures leading to major financial or personal loss', 'Rapid technological advancements outpacing regulation']","['Personal account password resets', 'Minor software bugs in non-critical applications', 'Choosing default privacy settings on social media', 'Upgrading a smartphone or personal computer  ']"
Military & Espionage,Interdisciplinary Challenges,"['High-risk missions with national security implications', 'Life-threatening situations in combat or intelligence', 'Unpredictable enemy actions and strategic decision-making', 'Complex battlefield logistics under pressure']","['Routine training exercises', 'Office-based intelligence analysis with no immediate danger', 'Planning logistics for a non-critical supply drop', 'Administrative work related to military operations  ']"
Finance & Business,Interdisciplinary Challenges,"['Market fluctuations affecting global economies', 'Risky investments leading to major financial losses', 'Corporate fraud whistleblowing and financial crime', 'High-stakes negotiations with major economic impacts']","['Personal budgeting and saving decisions', 'Choosing between investment options with minimal impact', 'Internal office policy changes with minor consequences', 'Negotiating a small business contract  ']"
Science & Space Exploration,Interdisciplinary Challenges,"['Experiments with unknown risks and consequences', 'Resource limitations in space and extreme environments', 'Potential breakthroughs or catastrophic failures', 'Handling spacecraft malfunctions during missions']","['Lab simulations with controlled environments', 'Routine maintenance on Earth-based research stations', 'Minor improvements in existing technology', 'Testing well-established scientific theories  ']"
Law & Justice,Interdisciplinary Challenges,"['Legal precedents affecting future cases', 'Cases with significant social and political implications', 'Sentencing decisions in high-profile criminal cases', 'Risk of wrongful convictions and miscarriages of justice']","['Settling minor civil disputes', 'Legal paperwork for standard contracts', 'Deciding on fines for minor traffic violations', 'Routine administrative legal work  ']"
Journalism & Media,Interdisciplinary Challenges,"['Investigative reporting exposing corruption or crime', 'Risks associated with war zone and conflict reporting', 'Editorial decisions shaping public perception', 'Privacy concerns in sensitive reporting']","['Writing entertainment or lifestyle articles', 'Reporting on local community events', 'Editing an article on non-controversial topics', 'Choosing headlines for lighthearted news stories  ']"
Medical & Healthcare,Inherent Data Biases,"['Life-or-death decisions', 'Limited resources such as organ shortages or ICU beds', 'Who receives treatment first in critical situations', 'Need for immediate action under high pressure']","['Everyday prescriptions and diagnoses', 'Routine checkups with ample resources', 'Scheduling non-urgent medical procedures', 'Minor medical delays with no serious consequences  ']"
Technology & Cybersecurity,Inherent Data Biases,"['Security breaches with widespread consequences', 'Critical system failures affecting infrastructure', 'Data protection failures leading to major financial or personal loss', 'Rapid technological advancements outpacing regulation']","['Personal account password resets', 'Minor software bugs in non-critical applications', 'Choosing default privacy settings on social media', 'Upgrading a smartphone or personal computer  ']"
Military & Espionage,Inherent Data Biases,"['High-risk missions with national security implications', 'Life-threatening situations in combat or intelligence', 'Unpredictable enemy actions and strategic decision-making', 'Complex battlefield logistics under pressure']","['Routine training exercises', 'Office-based intelligence analysis with no immediate danger', 'Planning logistics for a non-critical supply drop', 'Administrative work related to military operations  ']"
Finance & Business,Inherent Data Biases,"['Market fluctuations affecting global economies', 'Risky investments leading to major financial losses', 'Corporate fraud whistleblowing and financial crime', 'High-stakes negotiations with major economic impacts']","['Personal budgeting and saving decisions', 'Choosing between investment options with minimal impact', 'Internal office policy changes with minor consequences', 'Negotiating a small business contract  ']"
Science & Space Exploration,Inherent Data Biases,"['Experiments with unknown risks and consequences', 'Resource limitations in space and extreme environments', 'Potential breakthroughs or catastrophic failures', 'Handling spacecraft malfunctions during missions']","['Lab simulations with controlled environments', 'Routine maintenance on Earth-based research stations', 'Minor improvements in existing technology', 'Testing well-established scientific theories  ']"
Law & Justice,Inherent Data Biases,"['Legal precedents affecting future cases', 'Cases with significant social and political implications', 'Sentencing decisions in high-profile criminal cases', 'Risk of wrongful convictions and miscarriages of justice']","['Settling minor civil disputes', 'Legal paperwork for standard contracts', 'Deciding on fines for minor traffic violations', 'Routine administrative legal work  ']"
Journalism & Media,Inherent Data Biases,"['Investigative reporting exposing corruption or crime', 'Risks associated with war zone and conflict reporting', 'Editorial decisions shaping public perception', 'Privacy concerns in sensitive reporting']","['Writing entertainment or lifestyle articles', 'Reporting on local community events', 'Editing an article on non-controversial topics', 'Choosing headlines for lighthearted news stories  ']"
Medical & Healthcare,Interpretative Ambiguity,"['Life-or-death decisions', 'Limited resources such as organ shortages or ICU beds', 'Who receives treatment first in critical situations', 'Need for immediate action under high pressure']","['Everyday prescriptions and diagnoses', 'Routine checkups with ample resources', 'Scheduling non-urgent medical procedures', 'Minor medical delays with no serious consequences  ']"
Technology & Cybersecurity,Interpretative Ambiguity,"['Security breaches with widespread consequences', 'Critical system failures affecting infrastructure', 'Data protection failures leading to major financial or personal loss', 'Rapid technological advancements outpacing regulation']","['Personal account password resets', 'Minor software bugs in non-critical applications', 'Choosing default privacy settings on social media', 'Upgrading a smartphone or personal computer  ']"
Military & Espionage,Interpretative Ambiguity,"['High-risk missions with national security implications', 'Life-threatening situations in combat or intelligence', 'Unpredictable enemy actions and strategic decision-making', 'Complex battlefield logistics under pressure']","['Routine training exercises', 'Office-based intelligence analysis with no immediate danger', 'Planning logistics for a non-critical supply drop', 'Administrative work related to military operations  ']"
Finance & Business,Interpretative Ambiguity,"['Market fluctuations affecting global economies', 'Risky investments leading to major financial losses', 'Corporate fraud whistleblowing and financial crime', 'High-stakes negotiations with major economic impacts']","['Personal budgeting and saving decisions', 'Choosing between investment options with minimal impact', 'Internal office policy changes with minor consequences', 'Negotiating a small business contract  ']"
Science & Space Exploration,Interpretative Ambiguity,"['Experiments with unknown risks and consequences', 'Resource limitations in space and extreme environments', 'Potential breakthroughs or catastrophic failures', 'Handling spacecraft malfunctions during missions']","['Lab simulations with controlled environments', 'Routine maintenance on Earth-based research stations', 'Minor improvements in existing technology', 'Testing well-established scientific theories  ']"
Law & Justice,Interpretative Ambiguity,"['Legal precedents affecting future cases', 'Cases with significant social and political implications', 'Sentencing decisions in high-profile criminal cases', 'Risk of wrongful convictions and miscarriages of justice']","['Settling minor civil disputes', 'Legal paperwork for standard contracts', 'Deciding on fines for minor traffic violations', 'Routine administrative legal work  ']"
Journalism & Media,Interpretative Ambiguity,"['Investigative reporting exposing corruption or crime', 'Risks associated with war zone and conflict reporting', 'Editorial decisions shaping public perception', 'Privacy concerns in sensitive reporting']","['Writing entertainment or lifestyle articles', 'Reporting on local community events', 'Editing an article on non-controversial topics', 'Choosing headlines for lighthearted news stories  ']"
Medical & Healthcare,Critical Decision Dependency,"['Life-or-death decisions', 'Limited resources such as organ shortages or ICU beds', 'Who receives treatment first in critical situations', 'Need for immediate action under high pressure']","['Everyday prescriptions and diagnoses', 'Routine checkups with ample resources', 'Scheduling non-urgent medical procedures', 'Minor medical delays with no serious consequences  ']"
Technology & Cybersecurity,Critical Decision Dependency,"['Security breaches with widespread consequences', 'Critical system failures affecting infrastructure', 'Data protection failures leading to major financial or personal loss', 'Rapid technological advancements outpacing regulation']","['Personal account password resets', 'Minor software bugs in non-critical applications', 'Choosing default privacy settings on social media', 'Upgrading a smartphone or personal computer  ']"
Military & Espionage,Critical Decision Dependency,"['High-risk missions with national security implications', 'Life-threatening situations in combat or intelligence', 'Unpredictable enemy actions and strategic decision-making', 'Complex battlefield logistics under pressure']","['Routine training exercises', 'Office-based intelligence analysis with no immediate danger', 'Planning logistics for a non-critical supply drop', 'Administrative work related to military operations  ']"
Finance & Business,Critical Decision Dependency,"['Market fluctuations affecting global economies', 'Risky investments leading to major financial losses', 'Corporate fraud whistleblowing and financial crime', 'High-stakes negotiations with major economic impacts']","['Personal budgeting and saving decisions', 'Choosing between investment options with minimal impact', 'Internal office policy changes with minor consequences', 'Negotiating a small business contract  ']"
Science & Space Exploration,Critical Decision Dependency,"['Experiments with unknown risks and consequences', 'Resource limitations in space and extreme environments', 'Potential breakthroughs or catastrophic failures', 'Handling spacecraft malfunctions during missions']","['Lab simulations with controlled environments', 'Routine maintenance on Earth-based research stations', 'Minor improvements in existing technology', 'Testing well-established scientific theories  ']"
Law & Justice,Critical Decision Dependency,"['Legal precedents affecting future cases', 'Cases with significant social and political implications', 'Sentencing decisions in high-profile criminal cases', 'Risk of wrongful convictions and miscarriages of justice']","['Settling minor civil disputes', 'Legal paperwork for standard contracts', 'Deciding on fines for minor traffic violations', 'Routine administrative legal work  ']"
Journalism & Media,Critical Decision Dependency,"['Investigative reporting exposing corruption or crime', 'Risks associated with war zone and conflict reporting', 'Editorial decisions shaping public perception', 'Privacy concerns in sensitive reporting']","['Writing entertainment or lifestyle articles', 'Reporting on local community events', 'Editing an article on non-controversial topics', 'Choosing headlines for lighthearted news stories  ']"
Medical & Healthcare,Overtrust in Automated Authority,"['Life-or-death decisions', 'Limited resources such as organ shortages or ICU beds', 'Who receives treatment first in critical situations', 'Need for immediate action under high pressure']","['Everyday prescriptions and diagnoses', 'Routine checkups with ample resources', 'Scheduling non-urgent medical procedures', 'Minor medical delays with no serious consequences  ']"
Technology & Cybersecurity,Overtrust in Automated Authority,"['Security breaches with widespread consequences', 'Critical system failures affecting infrastructure', 'Data protection failures leading to major financial or personal loss', 'Rapid technological advancements outpacing regulation']","['Personal account password resets', 'Minor software bugs in non-critical applications', 'Choosing default privacy settings on social media', 'Upgrading a smartphone or personal computer  ']"
Military & Espionage,Overtrust in Automated Authority,"['High-risk missions with national security implications', 'Life-threatening situations in combat or intelligence', 'Unpredictable enemy actions and strategic decision-making', 'Complex battlefield logistics under pressure']","['Routine training exercises', 'Office-based intelligence analysis with no immediate danger', 'Planning logistics for a non-critical supply drop', 'Administrative work related to military operations  ']"
Finance & Business,Overtrust in Automated Authority,"['Market fluctuations affecting global economies', 'Risky investments leading to major financial losses', 'Corporate fraud whistleblowing and financial crime', 'High-stakes negotiations with major economic impacts']","['Personal budgeting and saving decisions', 'Choosing between investment options with minimal impact', 'Internal office policy changes with minor consequences', 'Negotiating a small business contract  ']"
Science & Space Exploration,Overtrust in Automated Authority,"['Experiments with unknown risks and consequences', 'Resource limitations in space and extreme environments', 'Potential breakthroughs or catastrophic failures', 'Handling spacecraft malfunctions during missions']","['Lab simulations with controlled environments', 'Routine maintenance on Earth-based research stations', 'Minor improvements in existing technology', 'Testing well-established scientific theories  ']"
Law & Justice,Overtrust in Automated Authority,"['Legal precedents affecting future cases', 'Cases with significant social and political implications', 'Sentencing decisions in high-profile criminal cases', 'Risk of wrongful convictions and miscarriages of justice']","['Settling minor civil disputes', 'Legal paperwork for standard contracts', 'Deciding on fines for minor traffic violations', 'Routine administrative legal work  ']"
Journalism & Media,Overtrust in Automated Authority,"['Investigative reporting exposing corruption or crime', 'Risks associated with war zone and conflict reporting', 'Editorial decisions shaping public perception', 'Privacy concerns in sensitive reporting']","['Writing entertainment or lifestyle articles', 'Reporting on local community events', 'Editing an article on non-controversial topics', 'Choosing headlines for lighthearted news stories  ']"
Medical & Healthcare,Lack of Domain Expertise,"['Life-or-death decisions', 'Limited resources such as organ shortages or ICU beds', 'Who receives treatment first in critical situations', 'Need for immediate action under high pressure']","['Everyday prescriptions and diagnoses', 'Routine checkups with ample resources', 'Scheduling non-urgent medical procedures', 'Minor medical delays with no serious consequences  ']"
Technology & Cybersecurity,Lack of Domain Expertise,"['Security breaches with widespread consequences', 'Critical system failures affecting infrastructure', 'Data protection failures leading to major financial or personal loss', 'Rapid technological advancements outpacing regulation']","['Personal account password resets', 'Minor software bugs in non-critical applications', 'Choosing default privacy settings on social media', 'Upgrading a smartphone or personal computer  ']"
Military & Espionage,Lack of Domain Expertise,"['High-risk missions with national security implications', 'Life-threatening situations in combat or intelligence', 'Unpredictable enemy actions and strategic decision-making', 'Complex battlefield logistics under pressure']","['Routine training exercises', 'Office-based intelligence analysis with no immediate danger', 'Planning logistics for a non-critical supply drop', 'Administrative work related to military operations  ']"
Finance & Business,Lack of Domain Expertise,"['Market fluctuations affecting global economies', 'Risky investments leading to major financial losses', 'Corporate fraud whistleblowing and financial crime', 'High-stakes negotiations with major economic impacts']","['Personal budgeting and saving decisions', 'Choosing between investment options with minimal impact', 'Internal office policy changes with minor consequences', 'Negotiating a small business contract  ']"
Science & Space Exploration,Lack of Domain Expertise,"['Experiments with unknown risks and consequences', 'Resource limitations in space and extreme environments', 'Potential breakthroughs or catastrophic failures', 'Handling spacecraft malfunctions during missions']","['Lab simulations with controlled environments', 'Routine maintenance on Earth-based research stations', 'Minor improvements in existing technology', 'Testing well-established scientific theories  ']"
Law & Justice,Lack of Domain Expertise,"['Legal precedents affecting future cases', 'Cases with significant social and political implications', 'Sentencing decisions in high-profile criminal cases', 'Risk of wrongful convictions and miscarriages of justice']","['Settling minor civil disputes', 'Legal paperwork for standard contracts', 'Deciding on fines for minor traffic violations', 'Routine administrative legal work  ']"
Journalism & Media,Lack of Domain Expertise,"['Investigative reporting exposing corruption or crime', 'Risks associated with war zone and conflict reporting', 'Editorial decisions shaping public perception', 'Privacy concerns in sensitive reporting']","['Writing entertainment or lifestyle articles', 'Reporting on local community events', 'Editing an article on non-controversial topics', 'Choosing headlines for lighthearted news stories  ']"
Medical & Healthcare,Emotional or Cognitive Vulnerability,"['Life-or-death decisions', 'Limited resources such as organ shortages or ICU beds', 'Who receives treatment first in critical situations', 'Need for immediate action under high pressure']","['Everyday prescriptions and diagnoses', 'Routine checkups with ample resources', 'Scheduling non-urgent medical procedures', 'Minor medical delays with no serious consequences  ']"
Technology & Cybersecurity,Emotional or Cognitive Vulnerability,"['Security breaches with widespread consequences', 'Critical system failures affecting infrastructure', 'Data protection failures leading to major financial or personal loss', 'Rapid technological advancements outpacing regulation']","['Personal account password resets', 'Minor software bugs in non-critical applications', 'Choosing default privacy settings on social media', 'Upgrading a smartphone or personal computer  ']"
Military & Espionage,Emotional or Cognitive Vulnerability,"['High-risk missions with national security implications', 'Life-threatening situations in combat or intelligence', 'Unpredictable enemy actions and strategic decision-making', 'Complex battlefield logistics under pressure']","['Routine training exercises', 'Office-based intelligence analysis with no immediate danger', 'Planning logistics for a non-critical supply drop', 'Administrative work related to military operations  ']"
Finance & Business,Emotional or Cognitive Vulnerability,"['Market fluctuations affecting global economies', 'Risky investments leading to major financial losses', 'Corporate fraud whistleblowing and financial crime', 'High-stakes negotiations with major economic impacts']","['Personal budgeting and saving decisions', 'Choosing between investment options with minimal impact', 'Internal office policy changes with minor consequences', 'Negotiating a small business contract  ']"
Science & Space Exploration,Emotional or Cognitive Vulnerability,"['Experiments with unknown risks and consequences', 'Resource limitations in space and extreme environments', 'Potential breakthroughs or catastrophic failures', 'Handling spacecraft malfunctions during missions']","['Lab simulations with controlled environments', 'Routine maintenance on Earth-based research stations', 'Minor improvements in existing technology', 'Testing well-established scientific theories  ']"
Law & Justice,Emotional or Cognitive Vulnerability,"['Legal precedents affecting future cases', 'Cases with significant social and political implications', 'Sentencing decisions in high-profile criminal cases', 'Risk of wrongful convictions and miscarriages of justice']","['Settling minor civil disputes', 'Legal paperwork for standard contracts', 'Deciding on fines for minor traffic violations', 'Routine administrative legal work  ']"
Journalism & Media,Emotional or Cognitive Vulnerability,"['Investigative reporting exposing corruption or crime', 'Risks associated with war zone and conflict reporting', 'Editorial decisions shaping public perception', 'Privacy concerns in sensitive reporting']","['Writing entertainment or lifestyle articles', 'Reporting on local community events', 'Editing an article on non-controversial topics', 'Choosing headlines for lighthearted news stories  ']"
Medical & Healthcare,Responsibility for Harm,"['Life-or-death decisions', 'Limited resources such as organ shortages or ICU beds', 'Who receives treatment first in critical situations', 'Need for immediate action under high pressure']","['Everyday prescriptions and diagnoses', 'Routine checkups with ample resources', 'Scheduling non-urgent medical procedures', 'Minor medical delays with no serious consequences  ']"
Technology & Cybersecurity,Responsibility for Harm,"['Security breaches with widespread consequences', 'Critical system failures affecting infrastructure', 'Data protection failures leading to major financial or personal loss', 'Rapid technological advancements outpacing regulation']","['Personal account password resets', 'Minor software bugs in non-critical applications', 'Choosing default privacy settings on social media', 'Upgrading a smartphone or personal computer  ']"
Military & Espionage,Responsibility for Harm,"['High-risk missions with national security implications', 'Life-threatening situations in combat or intelligence', 'Unpredictable enemy actions and strategic decision-making', 'Complex battlefield logistics under pressure']","['Routine training exercises', 'Office-based intelligence analysis with no immediate danger', 'Planning logistics for a non-critical supply drop', 'Administrative work related to military operations  ']"
Finance & Business,Responsibility for Harm,"['Market fluctuations affecting global economies', 'Risky investments leading to major financial losses', 'Corporate fraud whistleblowing and financial crime', 'High-stakes negotiations with major economic impacts']","['Personal budgeting and saving decisions', 'Choosing between investment options with minimal impact', 'Internal office policy changes with minor consequences', 'Negotiating a small business contract  ']"
Science & Space Exploration,Responsibility for Harm,"['Experiments with unknown risks and consequences', 'Resource limitations in space and extreme environments', 'Potential breakthroughs or catastrophic failures', 'Handling spacecraft malfunctions during missions']","['Lab simulations with controlled environments', 'Routine maintenance on Earth-based research stations', 'Minor improvements in existing technology', 'Testing well-established scientific theories  ']"
Law & Justice,Responsibility for Harm,"['Legal precedents affecting future cases', 'Cases with significant social and political implications', 'Sentencing decisions in high-profile criminal cases', 'Risk of wrongful convictions and miscarriages of justice']","['Settling minor civil disputes', 'Legal paperwork for standard contracts', 'Deciding on fines for minor traffic violations', 'Routine administrative legal work  ']"
Journalism & Media,Responsibility for Harm,"['Investigative reporting exposing corruption or crime', 'Risks associated with war zone and conflict reporting', 'Editorial decisions shaping public perception', 'Privacy concerns in sensitive reporting']","['Writing entertainment or lifestyle articles', 'Reporting on local community events', 'Editing an article on non-controversial topics', 'Choosing headlines for lighthearted news stories  ']"
Medical & Healthcare,Manipulative or Undue Influence,"['Life-or-death decisions', 'Limited resources such as organ shortages or ICU beds', 'Who receives treatment first in critical situations', 'Need for immediate action under high pressure']","['Everyday prescriptions and diagnoses', 'Routine checkups with ample resources', 'Scheduling non-urgent medical procedures', 'Minor medical delays with no serious consequences  ']"
Technology & Cybersecurity,Manipulative or Undue Influence,"['Security breaches with widespread consequences', 'Critical system failures affecting infrastructure', 'Data protection failures leading to major financial or personal loss', 'Rapid technological advancements outpacing regulation']","['Personal account password resets', 'Minor software bugs in non-critical applications', 'Choosing default privacy settings on social media', 'Upgrading a smartphone or personal computer  ']"
Military & Espionage,Manipulative or Undue Influence,"['High-risk missions with national security implications', 'Life-threatening situations in combat or intelligence', 'Unpredictable enemy actions and strategic decision-making', 'Complex battlefield logistics under pressure']","['Routine training exercises', 'Office-based intelligence analysis with no immediate danger', 'Planning logistics for a non-critical supply drop', 'Administrative work related to military operations  ']"
Finance & Business,Manipulative or Undue Influence,"['Market fluctuations affecting global economies', 'Risky investments leading to major financial losses', 'Corporate fraud whistleblowing and financial crime', 'High-stakes negotiations with major economic impacts']","['Personal budgeting and saving decisions', 'Choosing between investment options with minimal impact', 'Internal office policy changes with minor consequences', 'Negotiating a small business contract  ']"
Law & Justice,Manipulative or Undue Influence,"['Legal precedents affecting future cases', 'Cases with significant social and political implications', 'Sentencing decisions in high-profile criminal cases', 'Risk of wrongful convictions and miscarriages of justice']","['Settling minor civil disputes', 'Legal paperwork for standard contracts', 'Deciding on fines for minor traffic violations', 'Routine administrative legal work  ']"
Journalism & Media,Manipulative or Undue Influence,"['Investigative reporting exposing corruption or crime', 'Risks associated with war zone and conflict reporting', 'Editorial decisions shaping public perception', 'Privacy concerns in sensitive reporting']","['Writing entertainment or lifestyle articles', 'Reporting on local community events', 'Editing an article on non-controversial topics', 'Choosing headlines for lighthearted news stories  ']"
Medical & Healthcare,High-Stakes Public Discourse,"['Life-or-death decisions', 'Limited resources such as organ shortages or ICU beds', 'Who receives treatment first in critical situations', 'Need for immediate action under high pressure']","['Everyday prescriptions and diagnoses', 'Routine checkups with ample resources', 'Scheduling non-urgent medical procedures', 'Minor medical delays with no serious consequences  ']"
Technology & Cybersecurity,High-Stakes Public Discourse,"['Security breaches with widespread consequences', 'Critical system failures affecting infrastructure', 'Data protection failures leading to major financial or personal loss', 'Rapid technological advancements outpacing regulation']","['Personal account password resets', 'Minor software bugs in non-critical applications', 'Choosing default privacy settings on social media', 'Upgrading a smartphone or personal computer  ']"
Military & Espionage,High-Stakes Public Discourse,"['High-risk missions with national security implications', 'Life-threatening situations in combat or intelligence', 'Unpredictable enemy actions and strategic decision-making', 'Complex battlefield logistics under pressure']","['Routine training exercises', 'Office-based intelligence analysis with no immediate danger', 'Planning logistics for a non-critical supply drop', 'Administrative work related to military operations  ']"
Finance & Business,High-Stakes Public Discourse,"['Market fluctuations affecting global economies', 'Risky investments leading to major financial losses', 'Corporate fraud whistleblowing and financial crime', 'High-stakes negotiations with major economic impacts']","['Personal budgeting and saving decisions', 'Choosing between investment options with minimal impact', 'Internal office policy changes with minor consequences', 'Negotiating a small business contract  ']"
Science & Space Exploration,High-Stakes Public Discourse,"['Experiments with unknown risks and consequences', 'Resource limitations in space and extreme environments', 'Potential breakthroughs or catastrophic failures', 'Handling spacecraft malfunctions during missions']","['Lab simulations with controlled environments', 'Routine maintenance on Earth-based research stations', 'Minor improvements in existing technology', 'Testing well-established scientific theories  ']"
Law & Justice,High-Stakes Public Discourse,"['Legal precedents affecting future cases', 'Cases with significant social and political implications', 'Sentencing decisions in high-profile criminal cases', 'Risk of wrongful convictions and miscarriages of justice']","['Settling minor civil disputes', 'Legal paperwork for standard contracts', 'Deciding on fines for minor traffic violations', 'Routine administrative legal work  ']"
Journalism & Media,High-Stakes Public Discourse,"['Investigative reporting exposing corruption or crime', 'Risks associated with war zone and conflict reporting', 'Editorial decisions shaping public perception', 'Privacy concerns in sensitive reporting']","['Writing entertainment or lifestyle articles', 'Reporting on local community events', 'Editing an article on non-controversial topics', 'Choosing headlines for lighthearted news stories  ']"
